id,image,details
1,basketball.jpg,"Name: Standard Basketball, Category: Basketballs, Price: $30, Description: The Standard Basketball is perfect for both indoor and outdoor play, offering exceptional grip and durability. Designed to meet competitive performance standards, this ball provides a great bounce and comfortable handling for players of all skill levels. It's an excellent choice for athletes looking to elevate their game."
2,football.jpg,"Name: Pro Touch Football, Category: Footballs, Price: $45, Description: The Pro Touch Football is engineered for precision and control, offering an excellent grip and durable construction. Ideal for both casual and competitive play, this football is designed to enhance your throwing accuracy and game performance. Perfect for athletes looking for top-tier quality."
3,soccerball.jpg,"Name: Club Match Soccer Ball, Category: Soccer balls, Price: $40, Description: The Club Match Soccer Ball is crafted for professional-level play, featuring a high-quality construction and superior performance. With its durable design and reliable flight, this ball is perfect for training sessions and competitive matches. Ideal for players seeking a premium soccer ball that delivers consistent results on the field."
4,baseball.jpg,"Name: Pro League Baseball, Category: Other balls, Price: $25, Description: The Pro League Baseball is crafted for high-performance play, offering superior stitching and durable materials for long-lasting use. With its professional-grade design, this ball delivers consistent flight and precision, making it perfect for both practice and competitive games. Ideal for players seeking top-quality equipment."
5,volleyball.jpg,"Name: Beach Pro Volleyball, Category: Other balls, Price: $35, Description: The Beach Pro Volleyball is designed for optimal performance on sand courts, featuring a soft touch and durable construction. With its vibrant design and reliable flight, this ball is perfect for beach volleyball enthusiasts of all levels. Whether you're playing for fun or in a competitive match, this ball will help you elevate your game."
6,golfball.jpg,"Name: Tour Precision Golf Ball, Category: Other balls, Price: $20, Description: The Tour Precision Golf Ball is engineered for exceptional distance and accuracy, featuring a high-performance design that enhances your game. With its advanced dimple pattern and responsive core, this ball delivers consistent flight and control, making it a great choice for golfers of all levels. Perfect for players looking to improve their performance on the course."
7,tennisball.jpg,"Name: Championship Tennis Ball, Category: Other balls, Price: $15, Description: The Championship Tennis Ball is designed for optimal performance and durability, featuring a high-quality felt cover and consistent bounce. Perfect for both recreational and competitive play, this ball offers reliable flight and control, making it a great choice for tennis enthusiasts of all levels. A must-have for your next match."
8,basketball-unicorn.jpg,"Name: Rainbow Unicorn Basketball, Category: Basketballs, Price: $50, Description: The Rainbow Unicorn Basketball adds a fun, vibrant twist to your game with its colorful design and detailed unicorn graphic. Built for both indoor and outdoor play, this basketball combines durability with a playful aesthetic, making it perfect for players of all ages who want to stand out on the court."
9,pingpongball.jpg,"Name: Highlighter Yellow Ping Pong Ball, Category: Other balls, Price: $10, Description: The Highlighter Yellow Ping Pong Ball is designed for high visibility and optimal performance, featuring a bright yellow color that stands out on the table. Crafted for precision and durability, this ball ensures consistent bounce and flight, making it perfect for competitive play and casual games alike. A must-have for ping pong enthusiasts."
10,football-flamingo.jpg,"Name: Flamingo Pattern Football, Category: Footballs, Price: $55, Description: The Flamingo Pattern Football offers a unique and stylish twist with its vibrant flamingo design, perfect for players looking to bring some flair to the field. Built for durability and performance, this football combines functionality with eye-catching aesthetics, making it great for both practice and casual play. Ideal for those who want to stand out."
